Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/02/2024,01/03/2024,WHOLEFDS #10 MARKET ST,Food & Drink,Sale,87.43,
01/04/2024,01/05/2024,NETFLIX.COM,Entertainment,Sale,15.49,
01/05/2024,01/07/2024,SHELL OIL 57442 SAN FRANCISCO CA,Gas,Sale,68.20,
01/08/2024,01/09/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,Payroll,Payment,-3500.00,
01/10/2024,01/11/2024,AMAZON.COM*2K7LM9PQ4,Shopping,Sale,42.99,
01/12/2024,01/13/2024,UBER* TRIP,Travel,Sale,14.75,
01/14/2024,01/15/2024,SPOTIFY USA,Entertainment,Sale,9.99,
01/15/2024,01/16/2024,ONLINE TRANSFER TO SAV ...4821,Transfer,Payment,500.00,
01/16/2024,01/17/2024,CVS PHARMACY #7824,Health & Wellness,Sale,23.58,
01/18/2024,01/19/2024,STARBUCKS #08432,Food & Drink,Sale,6.75,
01/20/2024,01/21/2024,PG&E ELECTRIC BILL,Bills & Utilities,Sale,142.18,
01/22/2024,01/23/2024,TRADER JOE S #123,Food & Drink,Sale,63.41,
01/24/2024,01/25/2024,PLANET FITNESS 0032,Health & Wellness,Sale,24.99,
01/25/2024,01/26/2024,AMZN MKTP US*3R9KP REFUND,Shopping,Payment,-18.00,
01/26/2024,01/27/2024,CHIPOTLE MEXICAN GRILL,Food & Drink,Sale,12.85,
01/28/2024,01/29/2024,AT&T *PAYMENT,Bills & Utilities,Sale,89.00,
01/30/2024,01/31/2024,INTEREST PAYMENT,Interest,Payment,-4.21,
02/01/2024,02/02/2024,WHOLEFDS #10 MARKET ST,Food & Drink,Sale,91.17,
02/02/2024,02/03/2024,NETFLIX.COM,Entertainment,Sale,15.49,
02/05/2024,02/06/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,Payroll,Payment,-3500.00,
02/06/2024,02/07/2024,SHELL OIL 57442 SAN FRANCISCO CA,Gas,Sale,72.40,
02/08/2024,02/09/2024,HULU,Entertainment,Sale,17.99,
02/10/2024,02/11/2024,AMAZON.COM*9X2MN5TR8,Shopping,Sale,134.00,
02/12/2024,02/13/2024,LYFT *RIDE MON 5PM,Travel,Sale,11.50,
02/14/2024,02/15/2024,ONLINE TRANSFER TO SAV ...4821,Transfer,Payment,500.00,
02/15/2024,02/16/2024,TARGET 00024831,Shopping,Sale,57.32,
02/18/2024,02/19/2024,CHEESECAKE FACTORY,Food & Drink,Sale,78.90,
02/20/2024,02/21/2024,COMCAST CABLE,Bills & Utilities,Sale,109.99,
02/22/2024,02/23/2024,TRADER JOE S #123,Food & Drink,Sale,55.88,
02/26/2024,02/27/2024,ZELLE TO ROOMMATE,Transfer,Payment,650.00,
02/28/2024,02/29/2024,CVS PHARMACY #7824,Health & Wellness,Sale,14.29,
03/01/2024,03/02/2024,WHOLEFDS #10 MARKET ST,Food & Drink,Sale,79.65,
03/04/2024,03/05/2024,NETFLIX.COM,Entertainment,Sale,15.49,
03/05/2024,03/06/2024,DIRECT DEPOSIT EMPLOYER PAYROLL,Payroll,Payment,-3500.00,
03/07/2024,03/08/2024,AMAZON.COM*7K4JL2QP1,Shopping,Sale,29.99,
03/10/2024,03/11/2024,UBER EATS,Food & Drink,Sale,34.20,
03/12/2024,03/13/2024,STARBUCKS #08432,Food & Drink,Sale,7.25,
03/14/2024,03/15/2024,ONLINE TRANSFER TO SAV ...4821,Transfer,Payment,500.00,
03/15/2024,03/16/2024,COSTCO WHSE #0472,Shopping,Sale,187.43,
03/18/2024,03/19/2024,SPOTIFY USA,Entertainment,Sale,9.99,
03/20/2024,03/21/2024,PG&E ELECTRIC BILL,Bills & Utilities,Sale,138.55,
03/22/2024,03/23/2024,TRADER JOE S #123,Food & Drink,Sale,68.92,
03/25/2024,03/26/2024,PLANET FITNESS 0032,Health & Wellness,Sale,24.99,
03/26/2024,03/27/2024,APPLE.COM/BILL,Entertainment,Sale,2.99,
03/28/2024,03/29/2024,VENMO PAYMENT,Transfer,Payment,80.00,
