Date,Description,Debit,Credit,Balance
2024-01-02,PAYROLL DIRECT DEPOSIT ACME CORP,,3500.00,4215.43
2024-01-03,WHOLEFDS MARKET,87.43,,4127.00
2024-01-04,NETFLIX,15.49,,4111.51
2024-01-05,SHELL OIL 57442,68.20,,4043.31
2024-01-08,AMAZON.COM,42.99,,4000.32
2024-01-09,UBER TRIP,14.75,,3985.57
2024-01-10,SPOTIFY,9.99,,3975.58
2024-01-11,TRANSFER TO SAVINGS,500.00,,3475.58
2024-01-12,CVS PHARMACY,23.58,,3452.00
2024-01-13,STARBUCKS,6.75,,3445.25
2024-01-14,PG&E,142.18,,3303.07
2024-01-15,TRADER JOES,63.41,,3239.66
2024-01-16,PLANET FITNESS,24.99,,3214.67
2024-01-17,AMAZON REFUND,,18.00,3232.67
2024-01-18,CHIPOTLE,12.85,,3219.82
2024-01-19,AT&T WIRELESS,89.00,,3130.82
2024-01-20,INTEREST EARNED,,4.21,3135.03
2024-01-22,CHECK #1042,1250.00,,1885.03
2024-02-01,PAYROLL DIRECT DEPOSIT ACME CORP,,3500.00,5385.03
2024-02-02,WHOLEFDS MARKET,91.17,,5293.86
2024-02-03,NETFLIX,15.49,,5278.37
2024-02-04,SHELL OIL 57442,72.40,,5205.97
2024-02-05,HULU,17.99,,5187.98
2024-02-06,AMAZON.COM,134.00,,5053.98
2024-02-07,LYFT,11.50,,5042.48
2024-02-08,TRANSFER TO SAVINGS,500.00,,4542.48
2024-02-09,TARGET,57.32,,4485.16
2024-02-10,CHEESECAKE FACTORY,78.90,,4406.26
2024-02-11,COMCAST,109.99,,4296.27
2024-02-12,TRADER JOES,55.88,,4240.39
2024-02-14,ZELLE PAYMENT TO ALEX,650.00,,3590.39
2024-02-15,CVS PHARMACY,14.29,,3576.10
2024-02-16,DOORDASH,9.99,,3566.11
2024-02-20,INTEREST EARNED,,3.98,3570.09
2024-03-01,PAYROLL DIRECT DEPOSIT ACME CORP,,3500.00,7070.09
2024-03-02,WHOLEFDS MARKET,79.65,,6990.44
2024-03-03,NETFLIX,15.49,,6974.95
2024-03-04,SHELL OIL 57442,68.80,,6906.15
2024-03-05,AMAZON.COM,29.99,,6876.16
2024-03-06,UBER EATS,34.20,,6841.96
2024-03-07,STARBUCKS,7.25,,6834.71
2024-03-08,TRANSFER TO SAVINGS,500.00,,6334.71
2024-03-09,COSTCO,187.43,,6147.28
2024-03-10,SPOTIFY,9.99,,6137.29
2024-03-11,PG&E,138.55,,5998.74
2024-03-12,TRADER JOES,68.92,,5929.82
2024-03-13,PLANET FITNESS,24.99,,5904.83
2024-03-14,APPLE.COM/BILL,2.99,,5901.84
2024-03-15,SIDE JOB PAYMENT,,850.00,6751.84
2024-03-20,INTEREST EARNED,,4.44,6756.28
